uniprot_id,Protein names,Gene names,Fasta headers,id,MCF10A_UT_1,MCF10A_UT_2,MCF10A_UT_3,MDA_MB_231_UT_1,MDA_MB_231_UT_2,MDA_MB_231_UT_3,HCC1937_UT_1,HCC1937_UT_2,HCC1937_UT_3,MCF10A_TR_1,MCF10A_TR_2,MCF10A_TR_3,MDA_MB_231_TR_1,MDA_MB_231_TR_2,MDA_MB_231_TR_3,HCC1937_TR_1,HCC1937_TR_2,HCC1937_TR_3
Q13286,Battenin,CLN3,sp|Q13286|CLN3_HUMAN Battenin OS=Homo sapiens OX=9606 GN=CLN3 PE=1 SV=1;tr|A0A024QZB8|A0A024QZB8_HUMAN Battenin OS=Homo sapiens OX=9606 GN=CLN3 PE=1 SV=1;tr|A0A1B0GWD3|A0A1B0GWD3_HUMAN Battenin OS=Homo sapiens OX=9606 PE=1 SV=1;tr|A0A0A0MRC7|A0A0A0MRC7_HUM,1,20062,17327,15436,18524,16146,19517,10202,10128,9959.2,16841,11305,12886,15301,12730,14676,7784.9,8357.3,7914.2
A0A024QZX5,Serpin B6,SERPINB6,tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A087X1N8|A0A087X1N8_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0,2,7267500,6379400,6019100,5446400,4953200,5287600,2766700,2541500,2572800,6684100,5453200,5860600,5735000,5313600,5382600,2644500,2682200,3135200
A0A024R0K5,Carcinoembryonic antigen-related cell adhesion molecule 5,CEACAM5,"tr|A0A024R0K5|A0A024R0K5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5, isoform CRA_a OS=Homo sapiens OX=9606 GN=CEACAM5 PE=1 SV=1;sp|P06731|CEAM5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens OX=9606 GN=",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737,4409.2,3829.4
A0A087WTV5,Transcriptional adapter 2-alpha,TADA2A;TADA2L,tr|A0A087WTV5|A0A087WTV5_HUMAN Transcriptional adapter 2-alpha (Fragment) OS=Homo sapiens OX=9606 GN=TADA2A PE=1 SV=1;tr|A0A087WWR4|A0A087WWR4_HUMAN Transcriptional adapter 2-alpha OS=Homo sapiens OX=9606 GN=TADA2A PE=1 SV=1;tr|A0A024R0Y4|A0A024R0Y4_HUMAN ,4,0,0,0,0,0,0,0,0,0,4366.1,4058.1,4434.4,5147.3,5281.5,5992,2872.7,2794.2,2946.3
Q9Y3E1,Hepatoma-derived growth factor-related protein 3,HDGFRP3,"sp|Q9Y3E1|HDGR3_HUMAN Hepatoma-derived growth factor-related protein 3 OS=Homo sapiens OX=9606 GN=HDGFL3 PE=1 SV=1;tr|A0A024R216|A0A024R216_HUMAN Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens OX=9606 GN=HDGFRP3 PE=1 SV=1;",5,345330,310910,288820,110890,104550,121550,98485,83164,73537,60477,41052,46427,23774,22878,22116,18619,19856,17043
A0A024R368,Prickle-like protein 2,PRICKLE2,"tr|A0A024R368|A0A024R368_HUMAN Prickle-like 2 (Drosophila), isoform CRA_a OS=Homo sapiens OX=9606 GN=PRICKLE2 PE=1 SV=1;sp|Q7Z3G6|PRIC2_HUMAN Prickle-like protein 2 OS=Homo sapiens OX=9606 GN=PRICKLE2 PE=1 SV=2;tr|A0A1X7SBR1|A0A1X7SBR1_HUMAN Prickle-like p",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A024R4E5,Vigilin,HDLBP,"tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",7,35852000,32172000,30022000,18930000,18197000,18846000,11162000,10177000,10103000,39275000,28645000,31639000,17517000,17911000,17639000,9672600,9841500,10614000
A0A087WZA9,Transmembrane protein 120A,TMEM120A;TMPIT,tr|A0A087WZA9|A0A087WZA9_HUMAN Transmembrane protein 120A (Fragment) OS=Homo sapiens OX=9606 GN=TMEM120A PE=1 SV=1;tr|A0A024R4K9|A0A024R4K9_HUMAN Transmembrane protein 120A OS=Homo sapiens OX=9606 GN=TMEM120A PE=1 SV=1;tr|A0A087X266|A0A087X266_HUMAN Transm,8,3428.8,6593.7,4197.3,3516.4,3244.7,2480.1,1759.9,2000.8,2546.8,3826.5,3013.2,2558.4,2746.7,4746.4,3472.2,1153,1768.7,0
A0A024R4M0,40S ribosomal protein S9,RPS9,tr|A0A024R4M0|A0A024R4M0_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606,9,48161000,40528000,39082000,35672000,32698000,34499000,36232000,31454000,31535000,50814000,34959000,40894000,31454000,31836000,29605000,32428000,29961000,32516000
A0A1B0GWI2,Ceroid-lipofuscinosis neuronal protein 5,CLN5,tr|A0A1B0GWI2|A0A1B0GWI2_HUMAN Ceroid-lipofuscinosis neuronal protein 5 (Fragment) OS=Homo sapiens OX=9606 GN=CLN5 PE=1 SV=1;tr|A0A0A0MRU5|A0A0A0MRU5_HUMAN Ceroid-lipofuscinosis neuronal protein 5 OS=Homo sapiens OX=9606 GN=CLN5 PE=1 SV=1;tr|A0A024R644|A0A,10,275890,236290,229250,72629,67357,73748,156050,142700,138910,118200,81357,97209,30418,33010,30270,61597,62646,72431
A0A024R6I7,Alpha-1-antitrypsin;Short peptide from AAT,SERPINA1,tr|A0A024R6I7|A0A024R6I7_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=1;sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3,11,685820,669710,603560,29640,39359,49638,36251,32774,8802.6,0,0,0,0,0,0,0,0,0
K7EN05,Transcription elongation factor 1 homolog,ELOF1,tr|K7EN05|K7EN05_HUMAN Transcription elongation factor 1 homolog OS=Homo sapiens OX=9606 GN=ELOF1 PE=1 SV=1;tr|K7EPC8|K7EPC8_HUMAN Transcription elongation factor 1 homolog OS=Homo sapiens OX=9606 GN=ELOF1 PE=1 SV=1;tr|A0A024R7E8|A0A024R7E8_HUMAN Transcrip,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
